,0
0,"{'B_PSH': 1493472.4995589254, 'N_pv1_sub': 867.8795479333404, 'a0_spring': 37.4991480120109, 'a1_spring': 0.08504306083294469, 'a7_spring': -0.8577314401059961, 'b1_spring': -0.4794981885973402, 'b7_spring': -0.41933062376011604, 'a0_summer': 37.228990205234695, 'a1_summer': -1.306790528025996, 'a7_summer': -0.938285344633203, 'b1_summer': -0.49204576690616975, 'b7_summer': 0.437962299557146, 'a0_fall': 37.43607574957931, 'a1_fall': 1.2325275813727081, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.18921834943458335, 'b7_fall': 0.6745151783313708, 'a0_winter': 37.26822410607391, 'a1_winter': -0.013990158923634838, 'a7_winter': -0.22095388958373055, 'b1_winter': -0.8015446424800614, 'b7_winter': -0.7443812804486472, 'ERD_choice': 1}"
1,"{'B_PSH': 1437269.5447705204, 'N_pv1_sub': 860.5363022689659, 'a0_spring': 37.50445104883866, 'a1_spring': 0.08666254426338613, 'a7_spring': -0.859112207045873, 'b1_spring': -0.675540566583943, 'b7_spring': -0.3249444256338628, 'a0_summer': 37.24893671857103, 'a1_summer': -1.4544889111578017, 'a7_summer': -0.5289073125079693, 'b1_summer': -1.0949743469451167, 'b7_summer': 0.4838877662898415, 'a0_fall': 37.435554394262994, 'a1_fall': 1.1316636583299486, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6804144040088523, 'a0_winter': 37.20213042764698, 'a1_winter': -0.3169875495852941, 'a7_winter': -0.5124094126602594, 'b1_winter': -0.8145340498946694, 'b7_winter': 1.442653340426849, 'ERD_choice': 1}"
2,"{'B_PSH': 1453291.0798309105, 'N_pv1_sub': 863.8071201896353, 'a0_spring': 37.44237504428463, 'a1_spring': -0.31014395027948494, 'a7_spring': -0.8535271758114251, 'b1_spring': -0.5434481620472138, 'b7_spring': -0.4016734517336372, 'a0_summer': 37.441983392376294, 'a1_summer': 0.14780933114930636, 'a7_summer': -0.09160571827033172, 'b1_summer': -0.519077032883551, 'b7_summer': 0.483447478694268, 'a0_fall': 37.53988238379692, 'a1_fall': 0.1941737849360573, 'a7_fall': -0.2938033951564713, 'b1_fall': 0.9966742609108239, 'b7_fall': 0.8642208052945106, 'a0_winter': 37.24374226974617, 'a1_winter': 0.31134040029743826, 'a7_winter': 0.5705645427940444, 'b1_winter': -0.8831503769736571, 'b7_winter': -0.20415577328491197, 'ERD_choice': 1}"
3,"{'B_PSH': 1437269.5447705204, 'N_pv1_sub': 861.6392566371366, 'a0_spring': 37.50445104883866, 'a1_spring': 0.08781987566707418, 'a7_spring': -0.859112207045873, 'b1_spring': -0.675540566583943, 'b7_spring': -0.3249444256338628, 'a0_summer': 37.248931670756924, 'a1_summer': -1.3991037051868487, 'a7_summer': -0.5289073125079693, 'b1_summer': -1.0969471850889652, 'b7_summer': 0.4838877662898415, 'a0_fall': 37.435548208084406, 'a1_fall': 1.1316413265568277, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.17972055410016471, 'b7_fall': 0.6570376257510772, 'a0_winter': 37.20213042764698, 'a1_winter': -0.3169875495852941, 'a7_winter': -0.5124094126602594, 'b1_winter': -0.8116532833656642, 'b7_winter': 1.479649350966482, 'ERD_choice': 1}"
4,"{'B_PSH': 1433981.143399641, 'N_pv1_sub': 869.5170079308516, 'a0_spring': 37.47897181276809, 'a1_spring': -0.2211036443489098, 'a7_spring': -1.024591902037482, 'b1_spring': 0.9187636098615158, 'b7_spring': -0.35938760461469743, 'a0_summer': 37.33699771676994, 'a1_summer': -1.0249688551800915, 'a7_summer': -0.6985802956293103, 'b1_summer': -0.4832423433809676, 'b7_summer': -0.6619761049988913, 'a0_fall': 37.589843671360555, 'a1_fall': -0.49639050434874543, 'a7_fall': -0.9403270832042195, 'b1_fall': 0.24324874207103153, 'b7_fall': -0.2331799717866771, 'a0_winter': 37.27208871452587, 'a1_winter': -0.3459178723376378, 'a7_winter': 1.1407446334816072, 'b1_winter': -0.7871975629555743, 'b7_winter': 0.8034341919535557, 'ERD_choice': 1}"
5,"{'B_PSH': 1462007.7706728526, 'N_pv1_sub': 861.8039703948647, 'a0_spring': 37.48634075064113, 'a1_spring': -0.0077383631378722725, 'a7_spring': -0.8593896919677528, 'b1_spring': -1.1039800266560178, 'b7_spring': -0.38023476076581425, 'a0_summer': 37.225476060239274, 'a1_summer': 0.1144619966315934, 'a7_summer': -0.6491890944907246, 'b1_summer': -0.5572672263248499, 'b7_summer': 0.3562304985463798, 'a0_fall': 37.437235581702545, 'a1_fall': -0.2186188733620011, 'a7_fall': -0.8808846629522272, 'b1_fall': -0.2436857524618486, 'b7_fall': -0.6241467321309419, 'a0_winter': 37.20349067364754, 'a1_winter': -0.3004663438040355, 'a7_winter': -0.02118683761329776, 'b1_winter': -0.7805909492389375, 'b7_winter': 0.7684708483414407, 'ERD_choice': 1}"
6,"{'B_PSH': 1444151.7143053082, 'N_pv1_sub': 864.3552016647903, 'a0_spring': 37.44097501864524, 'a1_spring': -0.3217902297203196, 'a7_spring': -0.9866628049155854, 'b1_spring': 0.9078051130761552, 'b7_spring': -1.1154578103243835, 'a0_summer': 37.33378527920227, 'a1_summer': -1.199782690827916, 'a7_summer': -0.8042476693221605, 'b1_summer': -0.5104020956051355, 'b7_summer': 0.5670140488035158, 'a0_fall': 37.40044206439204, 'a1_fall': -0.2652564156793522, 'a7_fall': -0.9649957907352082, 'b1_fall': 1.0025529712511076, 'b7_fall': 0.6471375087742967, 'a0_winter': 37.24341677684256, 'a1_winter': 0.9201600465027567, 'a7_winter': -0.18662463254462264, 'b1_winter': 0.07433480063015196, 'b7_winter': 0.2892581685530313, 'ERD_choice': 1}"
7,"{'B_PSH': 1493350.1592474573, 'N_pv1_sub': 863.4785323607833, 'a0_spring': 37.485317442220634, 'a1_spring': 0.08094025350515173, 'a7_spring': -0.857269332452655, 'b1_spring': 1.0993564213402678, 'b7_spring': -0.8072248215609125, 'a0_summer': 37.22942047500912, 'a1_summer': -1.306624805565308, 'a7_summer': -0.5067300541026631, 'b1_summer': -1.190852918637198, 'b7_summer': 0.4808475542011157, 'a0_fall': 37.50132551529854, 'a1_fall': 1.3571812288309104, 'a7_fall': -0.8644920729498385, 'b1_fall': -0.19433948705122372, 'b7_fall': -1.092507191226812, 'a0_winter': 37.20368666278671, 'a1_winter': -0.04566291937982686, 'a7_winter': 1.175901888991323, 'b1_winter': -0.8530363348148345, 'b7_winter': 1.4318723229847052, 'ERD_choice': 1}"
8,"{'B_PSH': 1440700.6670711427, 'N_pv1_sub': 838.2872508820456, 'a0_spring': 37.486404353536734, 'a1_spring': -0.16944598046102827, 'a7_spring': -0.8554117943017695, 'b1_spring': -0.7878550774536542, 'b7_spring': -0.4206698892195254, 'a0_summer': 37.338876906307675, 'a1_summer': -1.274683487860295, 'a7_summer': -0.20808372438710043, 'b1_summer': 0.3370925925580357, 'b7_summer': 0.48403790955115283, 'a0_fall': 37.4354808076365, 'a1_fall': 1.1472445294640932, 'a7_fall': -0.8791638302552673, 'b1_fall': -0.19264567726853155, 'b7_fall': 0.3541008794021927, 'a0_winter': 37.26094391784237, 'a1_winter': 0.9469129037445788, 'a7_winter': -0.5343189858494665, 'b1_winter': -0.801369646831326, 'b7_winter': -0.5458473362942886, 'ERD_choice': 1}"
9,"{'B_PSH': 1437269.5447705204, 'N_pv1_sub': 861.8400404306756, 'a0_spring': 37.503890013238355, 'a1_spring': 0.08666254426338613, 'a7_spring': -0.9866828808740236, 'b1_spring': -0.675540566583943, 'b7_spring': -0.3249444256338628, 'a0_summer': 37.36237483417376, 'a1_summer': -1.4544889111578017, 'a7_summer': -0.6411181304022462, 'b1_summer': -0.8311424903827983, 'b7_summer': 0.4838877662898415, 'a0_fall': 37.43677887396164, 'a1_fall': 1.2962223442874092, 'a7_fall': -0.8807111239615657, 'b1_fall': -0.6702808049619279, 'b7_fall': 0.6804144040088523, 'a0_winter': 37.201969924757634, 'a1_winter': -0.3169875495852941, 'a7_winter': -0.5124094126602594, 'b1_winter': -0.9227578921201679, 'b7_winter': 1.4455328457252277, 'ERD_choice': 1}"
